FolioURN,Sequence,RV,Label,DefaultImageURN
urn:cite:bla:bbb318.58v,116,verso,"Bern, Burgerbibliothek, Cod. 318, 58v",urn:cite:ecodices:bbb318img.bbb318_058v
urn:cite:bla:bbb318.59r,117,recto,"Bern, Burgerbibliothek, Cod. 318, 59r",urn:cite:ecodices:bbb318img.bbb318_059r
urn:cite:bla:bbb318.59v,118,verso,"Bern, Burgerbibliothek, Cod. 318, 59v",urn:cite:ecodices:bbb318img.bbb318_059v
urn:cite:bla:bbb318.60r,119,recto,"Bern, Burgerbibliothek, Cod. 318, 60r",urn:cite:ecodices:bbb318img.bbb318_060r
urn:cite:bla:bbb318.60v,120,verso,"Bern, Burgerbibliothek, Cod. 318, 60v",urn:cite:ecodices:bbb318img.bbb318_060v
urn:cite:bla:bbb318.61r,121,recto,"Bern, Burgerbibliothek, Cod. 318, 61r",urn:cite:ecodices:bbb318img.bbb318_061r
urn:cite:bla:bbb318.61v,122,verso,"Bern, Burgerbibliothek, Cod. 318, 61v",urn:cite:ecodices:bbb318img.bbb318_061v
urn:cite:bla:bbb318.62r,123,recto,"Bern, Burgerbibliothek, Cod. 318, 62r",urn:cite:ecodices:bbb318img.bbb318_062r
urn:cite:bla:bbb318.62v,124,verso,"Bern, Burgerbibliothek, Cod. 318, 62v",urn:cite:ecodices:bbb318img.bbb318_062v
urn:cite:bla:bbb318.63r,125,recto,"Bern, Burgerbibliothek, Cod. 318, 63r",urn:cite:ecodices:bbb318img.bbb318_063r
urn:cite:bla:bbb318.63v,126,verso,"Bern, Burgerbibliothek, Cod. 318, 63v",urn:cite:ecodices:bbb318img.bbb318_063v
urn:cite:bla:bbb318.64r,127,recto,"Bern, Burgerbibliothek, Cod. 318, 64r",urn:cite:ecodices:bbb318img.bbb318_064r
urn:cite:bla:bbb318.64v,128,verso,"Bern, Burgerbibliothek, Cod. 318, 64v",urn:cite:ecodices:bbb318img.bbb318_064v
urn:cite:bla:bbb318.65r,129,recto,"Bern, Burgerbibliothek, Cod. 318, 65r",urn:cite:ecodices:bbb318img.bbb318_065r
urn:cite:bla:bbb318.65v,130,verso,"Bern, Burgerbibliothek, Cod. 318, 65v",urn:cite:ecodices:bbb318img.bbb318_065v
urn:cite:bla:bbb318.66r,131,recto,"Bern, Burgerbibliothek, Cod. 318, 66r",urn:cite:ecodices:bbb318img.bbb318_066r
urn:cite:bla:bbb318.66v,132,verso,"Bern, Burgerbibliothek, Cod. 318, 66v",urn:cite:ecodices:bbb318img.bbb318_066v
urn:cite:bla:bbb318.67r,133,recto,"Bern, Burgerbibliothek, Cod. 318, 67r",urn:cite:ecodices:bbb318img.bbb318_067r
urn:cite:bla:bbb318.67v,134,verso,"Bern, Burgerbibliothek, Cod. 318, 67v",urn:cite:ecodices:bbb318img.bbb318_067v
urn:cite:bla:bbb318.68r,135,recto,"Bern, Burgerbibliothek, Cod. 318, 68r",urn:cite:ecodices:bbb318img.bbb318_068r
urn:cite:bla:bbb318.68v,136,verso,"Bern, Burgerbibliothek, Cod. 318, 68v",urn:cite:ecodices:bbb318img.bbb318_068v
urn:cite:bla:bbb318.69r,137,recto,"Bern, Burgerbibliothek, Cod. 318, 69r",urn:cite:ecodices:bbb318img.bbb318_069r
urn:cite:bla:bbb318.69v,138,verso,"Bern, Burgerbibliothek, Cod. 318, 69v",urn:cite:ecodices:bbb318img.bbb318_069v
urn:cite:bla:bbb318.70r,139,recto,"Bern, Burgerbibliothek, Cod. 318, 70r",urn:cite:ecodices:bbb318img.bbb318_070r
urn:cite:bla:bbb318.70v,140,verso,"Bern, Burgerbibliothek, Cod. 318, 70v",urn:cite:ecodices:bbb318img.bbb318_070v
urn:cite:bla:bbb318.71r,141,recto,"Bern, Burgerbibliothek, Cod. 318, 71r",urn:cite:ecodices:bbb318img.bbb318_071r
urn:cite:bla:bbb318.71v,142,verso,"Bern, Burgerbibliothek, Cod. 318, 71v",urn:cite:ecodices:bbb318img.bbb318_071v
urn:cite:bla:bbb318.72r,143,recto,"Bern, Burgerbibliothek, Cod. 318, 72r",urn:cite:ecodices:bbb318img.bbb318_072r
urn:cite:bla:bbb318.72v,144,verso,"Bern, Burgerbibliothek, Cod. 318, 72v",urn:cite:ecodices:bbb318img.bbb318_072v
urn:cite:bla:bbb318.73r,145,recto,"Bern, Burgerbibliothek, Cod. 318, 73r",urn:cite:ecodices:bbb318img.bbb318_073r
urn:cite:bla:bbb318.73v,146,verso,"Bern, Burgerbibliothek, Cod. 318, 73v",urn:cite:ecodices:bbb318img.bbb318_073v
